,hop_len,no_of_hops,avg_hop_loss,transponder_modulation,transponder_bitrate,OSNR
0,7335.583348170257,94.0,15.586601801253504,8QAM,100,16.366049800486536
1,3468.808276635722,46.0,15.447120075353903,32QAM,200,17.103439524818498
2,4867.494837519788,64.0,19.117317318940202,16QAM,100,16.026942637996513
3,4773.649459430821,62.0,16.663998763228427,32QAM,200,14.325326892740193
4,2574.2754528194137,34.0,16.421329565482196,32QAM,100,18.204610836481905
5,1513.0547526857213,20.0,16.715276538744742,32QAM,400,27.959487598924753
6,2845.687530127582,37.0,18.01208551055577,8QAM,400,20.063739812471667
7,138.6671811785203,1.0,16.543550746718147,8QAM,400,58.68241723174057
8,3277.399904973766,41.0,17.07133566399529,32QAM,400,25.010577845462763
9,9416.987980939142,115.0,17.83773201248937,32QAM,200,12.914978015500495
10,2890.3070401284776,40.0,17.70480676615056,32QAM,100,22.286218167066636
11,2724.596398653708,36.0,16.613736277851476,QPSK,400,22.647503408202255
12,5000.746209556219,64.0,16.312900069675216,32QAM,400,20.496168844282266
13,138.6671811785203,1.0,18.007003294744354,32QAM,200,54.98010885658556
14,138.6671811785203,1.0,16.755251892921677,QPSK,200,56.37862291100595
15,2753.514717248579,35.0,17.093604302459674,8QAM,200,26.641190269249137
16,7032.054406962772,85.0,14.782688972517159,32QAM,100,11.79580258066224
17,3313.250213511017,45.0,15.339464946120865,8QAM,100,18.330892242228728
18,6763.8407786636135,84.0,17.94952819314287,8QAM,400,16.146340035985247
19,1471.299958620381,19.0,17.497983010752883,8QAM,400,27.456920762562476
20,6712.2513851838785,88.0,18.083515758493252,32QAM,100,12.588894896177493
21,1008.0540464378444,14.0,16.162461144403935,16QAM,400,34.60584030761086
22,259.758312652394,2.0,16.33248702005404,32QAM,200,54.93525913021551
23,3922.5800467460067,53.0,17.70548093991903,QPSK,200,21.057796703034228
24,3985.559687900821,51.0,16.254309432895397,QPSK,400,16.245786172851894
25,1471.299958620381,19.0,15.868667228527599,32QAM,400,33.543030930090765
26,259.758312652394,2.0,17.02514926325015,32QAM,200,50.464109726814314
27,2890.3070401284776,40.0,15.758132165331116,32QAM,200,19.654838518702945
28,1222.1510671780518,14.0,17.177922787035836,16QAM,100,30.724871250308382
29,259.758312652394,2.0,18.39202999938515,16QAM,200,47.06771989528818
30,138.6671811785203,1.0,17.497698589993195,8QAM,200,58.257467502311755
31,1222.1510671780518,14.0,16.783244773201474,32QAM,100,28.21889107516884
32,1008.0540464378444,14.0,16.524813528129425,QPSK,200,31.756472799207728
33,3370.0320735631985,42.0,17.972696563095486,QPSK,400,23.999213023373017
34,2313.5869069453174,27.0,17.90248730995223,8QAM,200,25.5084260987354
